,price
21420,75.0
3403,100.0
17732,150.0
12219,40.0
17673,39.0
13459,65.0
840,129.0
1081,181.0
13339,30.0
11576,65.0
6169,69.0
11336,61.0
7897,100.0
21127,59.0
17115,50.0
6618,100.0
16510,26.0
5040,150.0
6475,85.0
9470,67.0
7473,120.0
11845,125.0
17727,61.0
7968,124.0
1671,55.0
15879,111.0
6972,181.0
18874,80.0
9456,181.0
6391,51.0
5176,40.0
2763,125.0
7724,90.0
21326,139.0
7991,139.0
4372,120.0
2976,125.0
4367,90.0
4067,191.0
3346,139.0
19332,70.0
21781,58.0
17858,150.0
3292,105.0
3596,70.0
17021,109.0
12805,98.0
872,150.0
7552,35.0
15649,120.0
39,121.0
2239,75.0
8223,170.0
2602,198.0
19675,155.0
12132,159.0
6720,175.0
1816,94.0
3185,61.0
12930,63.0
10270,115.0
16247,190.0
6432,160.0
391,125.0
1900,70.0
6680,44.0
6276,50.0
11786,40.0
14053,35.0
11785,54.0
17475,120.0
9307,120.0
6354,120.0
572,85.0
2614,170.0
11915,75.0
7628,59.0
6318,111.0
10191,111.0
16116,75.0
12258,46.0
16993,120.0
21430,78.0
8870,181.0
8264,135.0
324,150.0
5064,61.0
8031,181.0
20871,53.0
19555,71.0
2479,195.0
14847,70.0
13134,61.0
15037,125.0
21149,111.0
8904,181.0
11851,100.0
1506,89.0
5786,75.0
734,80.0
14945,150.0
13096,61.0
12374,190.0
13585,151.0
777,82.0
4183,155.0
6249,49.0
11643,109.0
16363,30.0
7269,171.0
1514,158.0
12720,120.0
4847,80.0
21643,88.0
19673,129.0
19266,120.0
5852,125.0
12017,150.0
16813,133.0
6807,150.0
21624,179.0
5419,80.0
11463,40.0
2040,129.0
14188,98.0
715,98.0
2649,151.0
6113,111.0
17943,100.0
4595,84.0
7693,80.0
12322,47.0
4645,100.0
10165,40.0
21776,120.0
3412,120.0
11923,50.0
20797,100.0
12777,150.0
15757,50.0
299,125.0
19727,88.0
4255,146.0
14503,50.0
4429,125.0
14441,100.0
18331,102.0
15053,120.0
6488,69.0
11055,40.0
10798,75.0
15751,195.0
14482,140.0
3507,181.0
2435,43.0
9927,129.0
1533,109.0
4528,100.0
4448,47.0
5898,61.0
467,55.0
18957,40.0
16340,90.0
2549,55.0
20263,185.0
13921,181.0
19362,61.0
19289,38.0
6364,129.0
8552,121.0
3543,125.0
8787,195.0
14689,115.0
16015,50.0
15648,65.0
6695,38.0
7416,129.0
9063,90.0
16000,90.0
535,50.0
8605,100.0
6103,139.0
16263,84.0
12587,80.0
12701,98.0
8488,160.0
14994,100.0
19894,190.0
4383,96.0
21850,65.0
7047,111.0
12670,181.0
7948,140.0
1918,175.0
3595,90.0
9128,100.0
7274,90.0
19908,55.0
14937,74.0
1076,146.0
16985,53.0
20912,111.0
12062,80.0
17713,69.0
11682,150.0
15788,80.0
14912,140.0
10042,117.0
21704,101.0
10744,150.0
17110,88.0
2754,94.0
358,175.0
12992,170.0
15875,80.0
15903,44.0
19507,90.0
11251,50.0
13064,121.0
15742,179.0
16808,160.0
6842,38.0
5426,143.0
12882,169.0
10717,150.0
5446,170.0
18753,59.0
20377,170.0
10079,58.0
4014,155.0
7915,158.0
21435,169.0
3007,63.0
16778,50.0
13467,70.0
3633,181.0
21142,61.0
13001,160.0
4557,160.0
1330,181.0
8840,62.0
11478,66.0
5315,181.0
4599,164.0
18076,120.0
10361,129.0
4243,115.0
122,98.0
20456,39.0
190,189.0
6515,62.0
11185,115.0
16244,100.0
19612,155.0
20117,108.0
11236,195.0
17908,100.0
1943,44.0
3318,170.0
5358,181.0
8997,63.0
7354,150.0
458,105.0
10722,98.0
1356,179.0
1275,61.0
17222,120.0
11741,98.0
16034,70.0
18260,65.0
2662,151.0
10602,150.0
21292,70.0
15193,100.0
1398,111.0
2654,160.0
13288,70.0
17436,55.0
14772,120.0
5094,50.0
16760,61.0
134,175.0
11091,44.0
3347,129.0
11141,47.0
1096,175.0
8784,150.0
13691,120.0
14530,65.0
4427,66.0
10356,70.0
10793,120.0
170,65.0
477,94.0
13681,53.0
10932,150.0
15351,158.0
12739,179.0
16721,50.0
7440,111.0
4024,160.0
10728,90.0
20729,104.0
19897,119.0
660,105.0
8570,159.0
4600,160.0
9820,90.0
2313,100.0
15307,127.0
15980,80.0
8105,177.0
12158,42.0
13959,61.0
7326,35.0
17863,61.0
8205,159.0
1005,98.0
13150,169.0
1793,150.0
8690,80.0
15314,75.0
2718,150.0
18706,50.0
2812,90.0
7932,170.0
272,140.0
8392,80.0
20381,109.0
6051,125.0
5148,100.0
6931,61.0
3746,120.0
6211,100.0
6137,34.0
2996,51.0
16823,80.0
2062,150.0
7810,190.0
8602,119.0
4397,88.0
10607,119.0
20508,98.0
9624,175.0
3705,140.0
19661,111.0
20461,115.0
3608,75.0
1721,102.0
17296,90.0
739,61.0
21608,50.0
20744,85.0
15865,150.0
19209,181.0
8045,80.0
1868,125.0
465,135.0
2966,164.0
16220,32.0
6581,150.0
8307,70.0
2255,75.0
1986,98.0
13014,49.0
16911,47.0
5813,100.0
1858,61.0
4435,160.0
7973,129.0
4619,160.0
1885,150.0
4399,150.0
20953,90.0
1582,100.0
15088,195.0
3147,65.0
15970,80.0
11094,94.0
21584,113.0
14158,105.0
9892,61.0
11190,90.0
17856,80.0
21145,167.0
21554,189.0
6480,80.0
294,109.0
1884,70.0
18886,100.0
8399,150.0
16388,94.0
2816,140.0
4359,88.0
18946,58.0
10397,94.0
20766,144.0
11566,181.0
21853,35.0
5249,85.0
1271,75.0
17246,43.0
8536,150.0
6887,88.0
17914,75.0
17655,120.0
8907,94.0
11326,98.0
6503,75.0
410,146.0
14829,82.0
3296,90.0
4121,55.0
1342,120.0
4329,120.0
6293,111.0
18439,115.0
15002,70.0
9227,181.0
15934,44.0
18027,112.0
14877,90.0
18503,164.0
20156,65.0
17293,89.0
4408,50.0
15101,31.0
7923,90.0
5388,108.0
4643,61.0
2129,75.0
20869,75.0
13628,105.0
7652,111.0
9406,120.0
17023,55.0
1839,100.0
2767,171.0
8749,150.0
10434,89.0
21777,59.0
16117,120.0
2506,61.0
4828,181.0
9009,140.0
6134,70.0
20881,26.0
4211,70.0
8733,100.0
9176,70.0
9855,40.0
9728,175.0
5194,90.0
21116,50.0
7450,63.0
1082,55.0
6594,150.0
21539,61.0
9591,85.0
20321,75.0
5297,40.0
9684,115.0
19490,65.0
2746,129.0
8615,55.0
4466,55.0
5288,74.0
6798,55.0
13851,125.0
12278,80.0
12749,75.0
8487,164.0
3946,85.0
12924,44.0
21033,100.0
12455,70.0
2944,50.0
13739,70.0
7505,80.0
9211,150.0
3956,49.0
139,55.0
573,160.0
1760,94.0
257,190.0
15413,88.0
1494,115.0
8049,150.0
14906,85.0
19285,146.0
15372,44.0
600,100.0
13999,70.0
13116,65.0
8745,160.0
10219,75.0
11136,92.0
21602,50.0
6336,140.0
19214,111.0
10923,90.0
11867,15.0
1624,120.0
8501,129.0
4750,50.0
15660,120.0
17378,65.0
13909,181.0
801,84.0
15765,65.0
7367,100.0
9960,80.0
2723,120.0
16177,80.0
364,142.0
5045,100.0
7148,100.0
20146,195.0
7957,65.0
1085,50.0
19998,120.0
19230,40.0
12129,44.0
13928,125.0
13247,61.0
8391,63.0
1738,150.0
1326,120.0
3884,70.0
3049,50.0
9585,65.0
2791,129.0
13333,78.0
2909,80.0
3773,38.0
10969,70.0
13808,70.0
4897,58.0
18531,150.0
9634,50.0
10919,125.0
2411,150.0
4929,61.0
3672,181.0
21901,195.0
851,155.0
856,80.0
16584,152.0
9657,129.0
14286,181.0
5615,150.0
14737,23.0
12844,26.0
20309,115.0
1717,155.0
15830,67.0
4743,40.0
14236,59.0
10473,105.0
16299,100.0
6452,85.0
19863,120.0
18474,46.0
20612,185.0
13017,111.0
19854,90.0
12853,120.0
14486,128.0
7798,59.0
18707,140.0
11184,50.0
1888,75.0
20238,53.0
4170,80.0
8376,98.0
18547,160.0
2862,71.0
12497,69.0
16625,26.0
14489,100.0
8182,55.0
8363,169.0
309,119.0
20098,57.0
11531,71.0
19920,61.0
17511,90.0
16172,121.0
12298,181.0
425,40.0
18934,55.0
12668,80.0
18996,100.0
18377,85.0
8022,100.0
9556,100.0
5832,75.0
5596,70.0
695,120.0
18929,164.0
1512,100.0
1765,120.0
19609,40.0
2091,65.0
582,177.0
21024,100.0
11765,65.0
13357,198.0
16398,50.0
1593,120.0
10150,88.0
11098,100.0
5291,61.0
19487,50.0
15802,70.0
11332,42.0
8930,73.0
18722,181.0
14250,100.0
12947,111.0
11312,100.0
6297,140.0
18714,129.0
14857,112.0
6670,61.0
3228,160.0
4894,150.0
20667,98.0
4225,140.0
18083,39.0
6549,111.0
15780,150.0
7582,75.0
1548,90.0
16705,119.0
15622,119.0
9107,97.0
8102,43.0
2921,50.0
1006,85.0
1820,77.0
17971,55.0
16853,61.0
326,50.0
298,65.0
3380,190.0
11964,105.0
17466,100.0
8373,129.0
15814,59.0
11314,115.0
4423,120.0
13189,181.0
3552,75.0
7612,164.0
8006,90.0
13989,150.0
412,89.0
7062,86.0
12025,53.0
7074,55.0
18052,140.0
5340,61.0
8469,129.0
9387,100.0
2604,44.0
8417,120.0
10322,120.0
9701,75.0
17163,80.0
15989,159.0
17177,88.0
13442,150.0
18117,89.0
16841,100.0
4496,100.0
11162,98.0
11327,80.0
2667,181.0
16880,50.0
20372,30.0
21192,181.0
16653,80.0
14120,38.0
1259,94.0
4657,120.0
8835,150.0
11201,70.0
10188,146.0
1434,146.0
3426,159.0
4462,50.0
6733,120.0
13900,50.0
10625,170.0
15436,100.0
20451,102.0
14460,142.0
4680,35.0
4244,150.0
14657,90.0
9407,85.0
18417,100.0
15755,129.0
3603,57.0
20774,50.0
10862,90.0
7838,85.0
16054,80.0
15267,101.0
21495,65.0
16787,98.0
15067,198.0
3529,44.0
19447,44.0
3033,135.0
6710,185.0
10878,65.0
6076,30.0
20341,150.0
11261,98.0
20637,75.0
13293,85.0
3771,181.0
11359,150.0
53,111.0
9008,59.0
2408,50.0
15965,90.0
21869,70.0
8231,74.0
19054,80.0
17426,120.0
6108,175.0
8797,53.0
17051,98.0
1963,53.0
15261,62.0
17420,125.0
9120,80.0
7713,111.0
16413,75.0
17572,80.0
15770,111.0
11418,69.0
14172,44.0
6948,181.0
14593,80.0
15867,61.0
12373,111.0
4290,160.0
17679,116.0
754,80.0
253,49.0
13073,189.0
17539,97.0
19058,119.0
5033,156.0
15883,146.0
10238,98.0
5912,160.0
13748,100.0
13857,128.0
6613,111.0
10148,50.0
16682,111.0
9438,120.0
2325,100.0
7016,61.0
14903,61.0
7180,160.0
14166,111.0
14348,61.0
2998,58.0
485,111.0
3401,100.0
7414,61.0
15387,120.0
2447,100.0
18994,147.0
16593,120.0
21266,120.0
4160,164.0
10838,105.0
8869,119.0
13914,155.0
18217,50.0
296,171.0
11999,160.0
20188,150.0
10384,148.0
9322,111.0
6889,120.0
4460,58.0
10662,100.0
12081,43.0
14085,40.0
19818,150.0
21093,89.0
8886,57.0
7236,50.0
17476,70.0
15476,150.0
3153,80.0
12124,50.0
10194,150.0
21817,89.0
15176,65.0
6977,74.0
19456,128.0
18392,169.0
8562,105.0
9509,80.0
7164,150.0
2307,150.0
5529,93.0
6640,111.0
15518,150.0
6523,90.0
21635,129.0
6955,50.0
4925,140.0
6096,50.0
15128,169.0
12685,181.0
14601,120.0
13746,160.0
2844,108.0
18467,70.0
6597,61.0
7072,120.0
1467,120.0
2756,61.0
5646,61.0
12379,43.0
8331,61.0
6057,70.0
8525,140.0
20176,70.0
17849,75.0
4839,75.0
8640,75.0
2060,135.0
3890,129.0
4896,125.0
18285,190.0
3706,85.0
7372,90.0
1951,43.0
4297,61.0
15534,120.0
1273,90.0
19420,35.0
1309,160.0
5545,100.0
5501,50.0
20334,98.0
938,146.0
1205,129.0
19323,123.0
3187,61.0
5562,129.0
7981,55.0
17551,185.0
17090,43.0
14589,171.0
10036,43.0
12792,129.0
2697,185.0
19799,189.0
15760,70.0
10445,85.0
5413,70.0
11346,80.0
8173,150.0
7479,181.0
1095,179.0
8687,146.0
15599,111.0
2793,181.0
11293,61.0
12664,61.0
47,150.0
10183,129.0
3428,109.0
1590,80.0
16098,190.0
19288,135.0
5352,177.0
5335,150.0
2528,164.0
20849,55.0
13274,150.0
303,150.0
8323,125.0
19667,111.0
21269,120.0
15707,111.0
10099,120.0
15177,75.0
9396,150.0
20182,111.0
9689,129.0
2449,120.0
8021,71.0
10373,43.0
1679,70.0
10677,96.0
9697,75.0
14279,169.0
19143,50.0
7840,129.0
725,61.0
6801,135.0
13927,100.0
11345,80.0
7244,128.0
17538,120.0
20935,115.0
4865,89.0
1607,94.0
19149,55.0
14809,89.0
5961,70.0
20906,146.0
4364,100.0
16500,80.0
17923,123.0
10833,100.0
11872,139.0
8235,75.0
1555,80.0
14124,150.0
18734,190.0
17358,55.0
6898,59.0
13223,150.0
20181,40.0
19246,80.0
19106,129.0
17870,85.0
390,90.0
19190,38.0
4050,120.0
10928,43.0
16691,109.0
3818,65.0
3992,85.0
1032,146.0
7691,54.0
8070,61.0
20419,129.0
11051,50.0
20468,80.0
1748,140.0
3517,59.0
7106,65.0
19257,101.0
9119,129.0
12611,73.0
5269,30.0
3264,181.0
18053,50.0
13008,75.0
15805,150.0
6732,133.0
9312,97.0
14924,67.0
10640,100.0
17273,150.0
1237,30.0
9042,55.0
10851,46.0
4198,100.0
16669,44.0
17885,61.0
2635,57.0
21814,181.0
14118,185.0
11529,40.0
6457,100.0
1687,150.0
18766,120.0
11492,120.0
474,94.0
4275,90.0
5231,66.0
21824,127.0
17500,120.0
8166,80.0
18808,140.0
13468,80.0
1565,55.0
1334,195.0
5541,75.0
3129,55.0
13884,98.0
5809,140.0
371,74.0
9566,181.0
21036,100.0
12146,120.0
9238,50.0
5353,80.0
10675,150.0
5120,44.0
20406,69.0
1697,90.0
11260,120.0
3310,80.0
19073,69.0
13141,44.0
20763,75.0
19868,61.0
15161,146.0
16004,100.0
16091,150.0
13782,43.0
3055,55.0
10192,90.0
19877,61.0
222,61.0
6129,160.0
16508,26.0
12183,96.0
21818,75.0
8984,125.0
1708,169.0
3294,85.0
12624,111.0
1414,90.0
17123,57.0
10004,129.0
13660,80.0
14967,50.0
18251,75.0
5406,85.0
2675,67.0
1773,65.0
3474,55.0
8844,111.0
2236,190.0
21800,120.0
9742,49.0
1479,150.0
2149,171.0
19077,140.0
5982,51.0
16549,44.0
21767,100.0
18047,140.0
17008,125.0
1597,150.0
21222,40.0
15350,90.0
17987,50.0
2130,100.0
10688,150.0
2555,100.0
13410,120.0
16528,170.0
2937,105.0
7307,120.0
2245,50.0
12811,164.0
13319,139.0
7228,55.0
19017,80.0
8821,100.0
10049,173.0
5168,98.0
11285,155.0
15798,36.0
19429,34.0
18200,139.0
16442,40.0
14651,185.0
17059,125.0
19593,61.0
20932,125.0
4472,128.0
5212,158.0
11997,82.0
5103,170.0
18132,150.0
8845,100.0
426,100.0
13282,75.0
19938,50.0
6678,61.0
215,90.0
18258,100.0
20195,150.0
539,70.0
17064,115.0
17369,100.0
673,129.0
475,160.0
18253,80.0
837,120.0
5132,53.0
13655,150.0
381,150.0
7806,132.0
15551,89.0
14597,129.0
2034,40.0
15687,111.0
21242,178.0
13327,90.0
20757,22.0
18207,70.0
19702,100.0
11341,120.0
21228,30.0
9727,100.0
5989,111.0
5000,61.0
2917,53.0
11808,30.0
16506,111.0
13646,160.0
20422,129.0
21176,133.0
21197,131.0
9350,150.0
6323,90.0
14458,148.0
1111,123.0
19736,98.0
11402,121.0
16785,50.0
13929,70.0
4550,129.0
21233,61.0
8057,150.0
7682,143.0
3984,195.0
12316,133.0
10534,98.0
16043,96.0
20471,100.0
6874,150.0
5641,100.0
2815,100.0
18745,90.0
14295,49.0
9069,160.0
10178,74.0
18629,189.0
16746,115.0
9267,139.0
21377,78.0
5556,160.0
1361,156.0
7098,55.0
16603,61.0
21915,50.0
16443,80.0
21097,115.0
556,100.0
17346,50.0
5574,150.0
5078,120.0
4678,190.0
18099,61.0
19864,98.0
3598,39.0
1841,169.0
16361,120.0
10117,100.0
1122,120.0
13365,150.0
18699,120.0
12898,90.0
5697,61.0
19629,89.0
20286,80.0
19028,75.0
3561,100.0
17648,129.0
9633,98.0
18560,65.0
17750,94.0
3556,125.0
10023,58.0
6303,59.0
15196,98.0
21043,100.0
16395,15.0
8007,70.0
20597,148.0
6994,100.0
7417,98.0
11888,50.0
21293,171.0
2533,75.0
9652,61.0
8054,100.0
5720,111.0
19412,59.0
17280,181.0
8770,170.0
211,61.0
17212,115.0
20462,129.0
2420,98.0
8880,139.0
15312,70.0
1243,150.0
9537,150.0
21742,80.0
2490,75.0
1799,61.0
4488,120.0
5323,139.0
4906,57.0
17119,90.0
9018,49.0
18040,146.0
15230,80.0
218,150.0
10450,105.0
5376,185.0
18639,61.0
198,74.0
14516,40.0
1878,80.0
19172,44.0
5093,92.0
6706,120.0
12478,181.0
11924,90.0
18504,107.0
19436,121.0
7257,100.0
17840,98.0
6228,195.0
16088,50.0
14014,80.0
15184,57.0
15255,120.0
5360,70.0
4534,85.0
7620,140.0
10029,74.0
5266,80.0
14084,61.0
10306,75.0
15800,120.0
5029,100.0
15468,34.0
9674,40.0
13022,49.0
2237,170.0
5559,54.0
11939,61.0
4270,150.0
13703,62.0
220,85.0
8726,175.0
18847,150.0
9693,75.0
939,140.0
16409,138.0
2527,75.0
2980,105.0
1829,78.0
19517,150.0
8192,181.0
10164,151.0
14034,42.0
7768,75.0
12888,181.0
5709,120.0
13742,120.0
19558,66.0
15656,85.0
10680,98.0
5946,90.0
2240,75.0
3558,100.0
3219,69.0
2543,150.0
2384,67.0
14380,150.0
6790,50.0
8861,32.0
15264,107.0
19252,129.0
15020,80.0
3214,44.0
7814,30.0
5200,86.0
17799,125.0
5630,65.0
11310,80.0
6644,98.0
2647,190.0
11909,57.0
14993,160.0
6020,129.0
10611,44.0
9244,35.0
3770,61.0
12923,160.0
21375,131.0
723,164.0
9492,109.0
4072,85.0
9522,139.0
19857,61.0
3523,195.0
3566,120.0
10319,185.0
529,150.0
4836,80.0
8980,105.0
434,195.0
16125,32.0
14307,169.0
7569,85.0
4533,105.0
10201,98.0
12608,61.0
20691,158.0
18657,71.0
3700,40.0
20694,159.0
10754,67.0
820,100.0
12093,47.0
12673,69.0
990,55.0
10806,75.0
16421,65.0
6470,55.0
9484,140.0
497,58.0
15544,140.0
17379,74.0
13707,44.0
17899,160.0
10875,100.0
1114,85.0
17294,65.0
12386,58.0
3563,154.0
7745,111.0
7516,129.0
19135,100.0
6834,88.0
3969,46.0
4902,61.0
20680,98.0
2839,50.0
5330,65.0
20710,90.0
12097,50.0
2526,175.0
5016,47.0
9302,61.0
5464,100.0
16176,43.0
16108,181.0
3373,80.0
12985,44.0
1991,100.0
248,70.0
15004,100.0
17761,181.0
16511,125.0
13211,90.0
13341,80.0
9558,53.0
18694,170.0
11484,150.0
18401,189.0
396,187.0
11137,70.0
9150,140.0
9808,55.0
16053,78.0
2806,150.0
21442,100.0
2918,190.0
17808,80.0
7393,150.0
16157,179.0
9109,61.0
14819,70.0
14536,85.0
13939,89.0
12998,195.0
16401,120.0
16844,67.0
4077,140.0
20226,169.0
10274,75.0
13443,128.0
8313,36.0
4223,80.0
18788,148.0
2674,85.0
9679,175.0
1981,30.0
19274,120.0
6396,150.0
19778,70.0
1227,150.0
20169,57.0
20987,100.0
18092,70.0
21572,35.0
1927,125.0
7912,65.0
8121,80.0
14870,150.0
15629,78.0
20562,75.0
9912,94.0
1744,120.0
20690,154.0
13093,57.0
18588,50.0
15384,181.0
19434,150.0
9832,166.0
19598,50.0
11259,129.0
8253,195.0
17526,44.0
15402,27.0
2367,90.0
15785,70.0
11717,160.0
10360,135.0
6029,117.0
10960,162.0
452,140.0
5676,193.0
4357,150.0
17502,150.0
1672,160.0
11937,18.0
2566,105.0
13679,36.0
11810,39.0
15509,100.0
15300,125.0
7665,115.0
20235,100.0
9136,150.0
18567,90.0
16456,75.0
10482,111.0
7680,66.0
8147,150.0
9258,115.0
10437,65.0
1734,100.0
10140,65.0
17518,80.0
8508,32.0
13420,80.0
2905,140.0
1650,100.0
14296,111.0
6236,36.0
17172,90.0
12273,70.0
1141,129.0
7136,170.0
8154,150.0
1923,120.0
6277,125.0
789,80.0
14196,123.0
4679,150.0
8332,90.0
18900,119.0
19687,50.0
9573,61.0
9725,53.0
18506,49.0
18001,55.0
19277,78.0
7174,80.0
15223,65.0
8682,61.0
21773,40.0
10966,181.0
11022,46.0
4164,58.0
16991,80.0
1498,61.0
4792,190.0
10318,58.0
5679,100.0
11728,98.0
17004,44.0
7815,181.0
11664,164.0
8025,35.0
2103,78.0
21150,119.0
14787,98.0
3737,100.0
17019,62.0
5156,170.0
13659,50.0
7998,90.0
19076,49.0
3902,187.0
21455,61.0
14812,129.0
19337,44.0
1657,61.0
9218,89.0
1158,80.0
14832,90.0
19794,34.0
14826,129.0
13367,120.0
19050,49.0
21025,65.0
15151,90.0
880,120.0
11617,61.0
2924,160.0
15633,40.0
3136,86.0
2424,75.0
4020,100.0
10425,55.0
18170,61.0
15400,55.0
9485,132.0
4667,75.0
12528,63.0
9377,100.0
12447,90.0
6177,38.0
17229,75.0
7430,59.0
1193,105.0
20828,75.0
21842,70.0
21280,97.0
6471,90.0
686,120.0
11497,195.0
14405,125.0
13551,55.0
21054,70.0
2507,189.0
8330,105.0
13772,80.0
6005,80.0
8002,35.0
20464,100.0
8038,150.0
15773,62.0
15309,160.0
6497,181.0
20640,69.0
8219,164.0
13143,100.0
5872,80.0
19175,120.0
16166,129.0
1468,61.0
9091,175.0
16293,44.0
7874,150.0
10514,75.0
18321,129.0
8398,55.0
18780,75.0
15076,100.0
2782,151.0
12238,92.0
4976,70.0
12395,181.0
520,120.0
3629,90.0
11740,146.0
21665,49.0
7861,150.0
6285,90.0
20628,100.0
6580,90.0
10354,55.0
2858,94.0
11836,40.0
6886,90.0
15979,160.0
10002,80.0
17660,65.0
14224,116.0
10409,150.0
9837,50.0
3759,65.0
21589,170.0
6045,55.0
16740,150.0
12221,70.0
6098,146.0
12462,69.0
13505,88.0
14247,125.0
21454,146.0
18872,120.0
7112,65.0
16630,80.0
7921,35.0
5085,187.0
19150,98.0
6140,120.0
4315,181.0
6368,190.0
20951,120.0
20369,26.0
2112,150.0
8003,100.0
615,150.0
2663,94.0
17496,50.0
16971,66.0
1167,125.0
13380,120.0
18107,90.0
4333,150.0
